score	chembl_id	target_type	organism	tax_id	targ_comp
1602	CHEMBL2146303	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	6770
1531	CHEMBL3301560	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8664
1462	CHEMBL2169726	SINGLE PROTEIN	Plasmodium falciparum	5833	6876
1392	CHEMBL5193	SINGLE PROTEIN	Plasmodium falciparum	5833	3495
1344	CHEMBL2364672	PROTEIN COMPLEX	Bacteria	2	7858
1229	CHEMBL1293313	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	5188
1160	CHEMBL2013	SINGLE PROTEIN	Plasmodium falciparum	5833	343
1126	CHEMBL2364672	PROTEIN COMPLEX	Bacteria	2	158
1126	CHEMBL1852	SINGLE PROTEIN	Escherichia coli K-12	83333	158
1078	CHEMBL5672	SINGLE PROTEIN	Trypanosoma brucei	5691	3982
1061	CHEMBL2363852	PROTEIN COMPLEX	Clostridium difficile	1496	7484
1015	CHEMBL5154	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	3458
997	CHEMBL1837	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	137
995	CHEMBL1770043	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	5423
991	CHEMBL1944500	SINGLE PROTEIN	Leishmania amazonensis	5659	5609
986	CHEMBL5149	SINGLE PROTEIN	Leishmania mexicana	5665	3453
980	CHEMBL1944501	SINGLE PROTEIN	Leishmania infantum	5671	5610
977	CHEMBL6147	SINGLE PROTEIN	Plasmodium falciparum	5833	4712
968	CHEMBL5686	SINGLE PROTEIN	Trypanosoma brucei	5691	4008
959	CHEMBL2176840	SINGLE PROTEIN	Leishmania donovani	5661	7054
921	CHEMBL3301561	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8665
918	CHEMBL1255136	SINGLE PROTEIN	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	4816
901	CHEMBL5186	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3488
899	CHEMBL2362982	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	7328
890	CHEMBL1741167	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	5212
879	CHEMBL4150	SINGLE PROTEIN	Plasmodium falciparum	5833	2470
877	CHEMBL1275211	SINGLE PROTEIN	Plasmodium falciparum	5833	5160
795	CHEMBL2363852	PROTEIN COMPLEX	Clostridium difficile	1496	7483
788	CHEMBL1641360	SINGLE PROTEIN	Glycine max	3847	5361
767	CHEMBL2006	SINGLE PROTEIN	Mycobacterium tuberculosis	1773	337
745	CHEMBL1781869	SINGLE PROTEIN	Manduca sexta	7130	4993
744	CHEMBL3108659	SINGLE PROTEIN	Trypanosoma cruzi	5693	8305
740	CHEMBL2331040	PROTEIN COMPLEX	Staphylococcus epidermidis	1282	7273
737	CHEMBL1075253	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	4560
737	CHEMBL3038482	PROTEIN COMPLEX	Staphylococcus aureus	1280	8211
734	CHEMBL2097174	PROTEIN COMPLEX	Staphylococcus aureus subsp. aureus Mu50	158878	360
732	CHEMBL2770	SINGLE PROTEIN	Gallus gallus	9031	1103
731	CHEMBL2311224	PROTEIN COMPLEX	Bacteria	2	166
