score	chembl_id	target_type	organism	tax_id	targ_comp
2841	CHEMBL1741266	SINGLE PROTEIN	Plasmodium falciparum K1	5839	5260
1922	CHEMBL2010636	SINGLE PROTEIN	Trypanosoma brucei	5691	5825
1901	CHEMBL2169733	SINGLE PROTEIN	Leishmania major	5664	6883
1872	CHEMBL1795086	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	5050
1835	CHEMBL2111381	PROTEIN COMPLEX	Plasmodium falciparum	5833	5258
1662	CHEMBL4386	SINGLE PROTEIN	Trypanosoma brucei	5691	2702
1602	CHEMBL2146303	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	6770
1531	CHEMBL3301560	SINGLE PROTEIN	Plasmodium falciparum (isolate 3D7)	36329	8664
1462	CHEMBL2169726	SINGLE PROTEIN	Plasmodium falciparum	5833	6876
1392	CHEMBL5193	SINGLE PROTEIN	Plasmodium falciparum	5833	3495
1344	CHEMBL2364672	PROTEIN COMPLEX	Bacteria	2	7858
1305	CHEMBL6192	SINGLE PROTEIN	Leishmania donovani	5661	4771
1304	CHEMBL3286069	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	8614
1229	CHEMBL1293313	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	5188
1174	CHEMBL2169724	SINGLE PROTEIN	Plasmodium falciparum	5833	6874
1172	CHEMBL1293263	SINGLE PROTEIN	Plasmodium falciparum 3D7	36329	4966
1141	CHEMBL6193	SINGLE PROTEIN	Leishmania donovani donovani	99875	4772
1138	CHEMBL1741202	SINGLE PROTEIN	Leishmania major	5664	5391
1126	CHEMBL2364672	PROTEIN COMPLEX	Bacteria	2	158
1126	CHEMBL1852	SINGLE PROTEIN	Escherichia coli K-12	83333	158
1111	CHEMBL2671	SINGLE PROTEIN	Drosophila melanogaster	7227	1007
1093	CHEMBL5229	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	3529
1083	CHEMBL4614	SINGLE PROTEIN	Leishmania major	5664	2931
1078	CHEMBL5672	SINGLE PROTEIN	Trypanosoma brucei	5691	3982
1061	CHEMBL2363852	PROTEIN COMPLEX	Clostridium difficile	1496	7484
1015	CHEMBL5154	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	3458
1014	CHEMBL4697	SINGLE PROTEIN	Plasmodium falciparum	5833	3015
1005	CHEMBL3124738	SINGLE PROTEIN	Drosophila melanogaster	7227	8336
997	CHEMBL1837	SINGLE PROTEIN	Trypanosoma brucei brucei	5702	137
995	CHEMBL1770043	SINGLE PROTEIN	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	999953	5423
995	CHEMBL6074	SINGLE PROTEIN	Plasmodium falciparum	5833	4608
992	CHEMBL5290	SINGLE PROTEIN	Saccharomyces cerevisiae S288c	559292	3587
